Caso,Coste,Tiempo
MDG-a_1_n500_m50,6249.69,0.000454
MDG-a_2_n500_m50,6646.48,0.001168
MDG-a_3_n500_m50,6536.25,0.001055
MDG-a_4_n500_m50,6743.92,0.00159
MDG-a_5_n500_m50,6506.65,0.000844
MDG-a_6_n500_m50,6496.49,0.000983
MDG-a_7_n500_m50,6637.3,0.001132
MDG-a_8_n500_m50,6513.42,0.001122
MDG-a_9_n500_m50,6702.58,0.001026
MDG-a_10_n500_m50,6469.3,0.000674
MDG-b_21_n2000_m200,1.00188e+07,0.008486
MDG-b_22_n2000_m200,1.01326e+07,0.017221
MDG-b_23_n2000_m200,1.02554e+07,0.019949
MDG-b_24_n2000_m200,1.01643e+07,0.012718
MDG-b_25_n2000_m200,1.0346e+07,0.020578
MDG-b_26_n2000_m200,1.02937e+07,0.025828
MDG-b_27_n2000_m200,1.01966e+07,0.020848
MDG-b_28_n2000_m200,1.019e+07,0.018468
MDG-b_29_n2000_m200,1.02611e+07,0.024955
MDG-b_30_n2000_m200,1.02738e+07,0.018864
MDG-c_1_n3000_m300,2.27892e+07,0.040963
MDG-c_2_n3000_m300,2.31049e+07,0.057552
MDG-c_8_n3000_m400,4.06249e+07,0.075587
MDG-c_9_n3000_m400,4.03634e+07,0.068703
MDG-c_10_n3000_m400,4.04006e+07,0.042103
MDG-c_13_n3000_m500,6.30722e+07,0.068206
MDG-c_14_n3000_m500,6.31384e+07,0.1118
MDG-c_15_n3000_m500,6.28251e+07,0.083328
MDG-c_19_n3000_m600,9.06083e+07,0.10231
MDG-c_20_n3000_m600,9.13054e+07,0.172809
