Caso,Fitness,Tiempo
MDG-a_1_n500_m50,7563.02,0.004046
MDG-a_2_n500_m50,7480.41,0.001816
MDG-a_3_n500_m50,7534.81,0.002771
MDG-a_4_n500_m50,7588.94,0.003197
MDG-a_5_n500_m50,7581.57,0.003567
MDG-a_6_n500_m50,7560.03,0.003239
MDG-a_7_n500_m50,7436.45,0.002924
MDG-a_8_n500_m50,7481.34,0.001836
MDG-a_9_n500_m50,7531.55,0.003999
MDG-a_10_n500_m50,7496.37,0.002063
MDG-b_21_n2000_m200,1.11192e+07,0.101673
MDG-b_22_n2000_m200,1.11221e+07,0.124046
MDG-b_23_n2000_m200,1.11333e+07,0.108164
MDG-b_24_n2000_m200,1.10811e+07,0.068311
MDG-b_25_n2000_m200,1.1148e+07,0.143071
MDG-b_26_n2000_m200,1.10955e+07,0.110197
MDG-b_27_n2000_m200,1.11061e+07,0.166339
MDG-b_28_n2000_m200,1.11309e+07,0.134069
MDG-b_29_n2000_m200,1.10899e+07,0.100153
MDG-b_30_n2000_m200,1.11113e+07,0.102185
MDG-c_1_n3000_m300,2.46114e+07,0.351964
MDG-c_2_n3000_m300,2.458e+07,0.347001
MDG-c_8_n3000_m400,4.31592e+07,0.498396
MDG-c_9_n3000_m400,4.30492e+07,0.502085
MDG-c_10_n3000_m400,4.30699e+07,0.496106
MDG-c_13_n3000_m500,6.64938e+07,0.647316
MDG-c_14_n3000_m500,6.65885e+07,0.666423
MDG-c_15_n3000_m500,6.66792e+07,0.653608
MDG-c_19_n3000_m600,9.51194e+07,0.817627
MDG-c_20_n3000_m600,9.50866e+07,0.835801
